entity_id,state,last_changed
sensor.testing_machine_current_power,69.1,2026-01-23T23:00:00.000Z
sensor.testing_machine_current_power,57.7,2026-01-23T23:00:14.548Z
sensor.testing_machine_current_power,0.0,2026-01-23T23:00:44.543Z
sensor.testing_machine_current_power,1.3,2026-01-23T23:01:14.550Z
sensor.testing_machine_current_power,0.0,2026-01-23T23:01:44.775Z
sensor.testing_machine_current_power,65.8,2026-01-23T23:02:14.776Z
sensor.testing_machine_current_power,68.9,2026-01-23T23:02:44.788Z
sensor.testing_machine_current_power,69.6,2026-01-23T23:03:14.541Z
sensor.testing_machine_current_power,64.5,2026-01-23T23:03:44.771Z
sensor.testing_machine_current_power,65.0,2026-01-23T23:04:14.781Z
sensor.testing_machine_current_power,69.2,2026-01-23T23:04:44.540Z
sensor.testing_machine_current_power,68.3,2026-01-23T23:05:14.550Z
sensor.testing_machine_current_power,63.6,2026-01-23T23:05:44.539Z
sensor.testing_machine_current_power,1945.5,2026-01-23T23:06:14.564Z
sensor.testing_machine_current_power,1930.3,2026-01-23T23:06:44.540Z
sensor.testing_machine_current_power,1930.1,2026-01-23T23:07:14.822Z
sensor.testing_machine_current_power,1928.2,2026-01-23T23:07:44.801Z
sensor.testing_machine_current_power,1921.4,2026-01-23T23:08:14.772Z
sensor.testing_machine_current_power,1937.5,2026-01-23T23:08:44.551Z
sensor.testing_machine_current_power,1938.7,2026-01-23T23:09:14.774Z
sensor.testing_machine_current_power,1935.4,2026-01-23T23:09:44.778Z
sensor.testing_machine_current_power,1930.2,2026-01-23T23:10:14.795Z
sensor.testing_machine_current_power,1943.6,2026-01-23T23:10:44.769Z
sensor.testing_machine_current_power,1934.5,2026-01-23T23:11:14.552Z
sensor.testing_machine_current_power,1950.1,2026-01-23T23:11:44.553Z
sensor.testing_machine_current_power,1924.8,2026-01-23T23:12:14.770Z
sensor.testing_machine_current_power,1931.3,2026-01-23T23:12:44.785Z
sensor.testing_machine_current_power,1929.7,2026-01-23T23:13:14.539Z
sensor.testing_machine_current_power,1939.7,2026-01-23T23:13:44.779Z
sensor.testing_machine_current_power,1925.4,2026-01-23T23:14:14.551Z
